code	type
1	Corn
2	Cotton
3	Rice
4	Sorghum
6	Sunflower
12	Sweet Corn
13	Pop or Orn Corn
14	Mint
21	Barley
22	Durum Wheat
23	Spring Wheat
24	Winter Wheat
27	Rye
28	Oats
31	Canola
33	Safflower
36	Alfalfa
37	Other Hay/Non Alfalfa
41	Sugarbeets
42	Dry Beans
43	Potatoes
44	Other Crops
45	Sugarcane
46	Sweet Potatoes
47	Misc Vegs & Fruits
48	Watermelons
49	Onions
50	Cucumbers
53	Peas
54	Tomatoes
55	Caneberries
57	Herbs
58	Clover/Wildflowers
59	Sod/Grass Seed
61	Fallow/Idle Cropland
66	Cherries
67	Peaches
68	Apples
69	Grapes
71	Other Tree Crops
72	Citrus
74	Pecans
75	Almonds
76	Walnuts
77	Pears
92	Aquaculture
204	Pistachios
205	Triticale
206	Carrots
207	Asparagus
208	Garlic
209	Cantaloupes
211	Olives
212	Oranges
213	Honeydew Melons
214	Broccoli
216	Peppers
217	Pomegranates
218	Nectarines
219	Greens
220	Plums
221	Strawberries
222	Squash
223	Apricots
224	Vetch
225	Dbl Crop WinWht/Corn
226	Dbl Crop Oats/Corn
227	Lettuce
229	Pumpkins
230	Dbl Crop Lettuce/Durum Wht
231	Dbl Crop Lettuce/Cantaloupe
232	Dbl Crop Lettuce/Cotton
234	Dbl Crop Durum Wht/Sorghum
235	Dbl Crop Barley/Sorghum
236	Dbl Crop WinWht/Sorghum
237	Dbl Crop Barley/Corn
238	Dbl Crop WinWht/Cotton
242	Blueberries
243	Cabbage
244	Cauliflower
245	Celery
246	Radishes
248	Eggplants
